Item,Description,Importance,Vendor,Price,Quantity,Cost,Subgroup,Group,Semester
PROP. CONTROL BOARD ICS/PASSIVES,Vertical test stand/MK2 avionics,Necessary for Any Progress,DIGIKEY/MOUSER,75.00,1,75.00,Avionics,Redshift,Summer I 2022
PCBS FOR PROPULSION,Vertical test stand/MK2 avionics,Pretty Important,JLCPCB,60.00,1,60.00,Avionics,Redshift,Summer I 2022
ANEMOMETER,wind tunnel velocity measurement,Pretty Important,GRAINGER,156.53,1,156.53,Sims,Redshift,Fall 2022
ASSORTED BOLTS AND STOCK,,Pretty Important,MCMASTER,150.00,1,150.00,Propulsion,Redshift,Spring 2023
SHIPPING,,,,100.00,1,100.00,Propulsion,Redshift,Spring 2023
GROUNDSTATION PCBS,,Necessary for Any Progress,JLC,100.00,1,100.00,Avionics,Redshift,Spring 2023
GROUNDSTATION ELECTRONICS,,Necessary for Any Progress,DIGIKEY,40.00,5,200.00,Avionics,Redshift,Spring 2023
FCB V2 PCBS AND COMPONENTS,,Necessary for Any Progress,"JLC, DIGIKEY",160.00,10,1600.00,Avionics,Redshift,Spring 2023
BLUETOOTH ARMING SWITCH PCBS,,Not necessary,JLC,50.00,1,50.00,Avionics,Redshift,Spring 2023
DAQ V4 PCB,,Not necessary,JLCPCB,45.00,1,45.00,Avionics,Redshift,Spring 2023
DAQ V4 COMPONENTS,,Not necessary,DIGIKEY,200.00,1,200.00,Avionics,Redshift,Spring 2023
PROP. SOLENOID BOARD PCBS,,Necessary for Any Progress,JLC,100.00,1,100.00,Avionics,Redshift,Spring 2023
PROP. SOLENOID BOARD COMPONENTS,,Necessary for Any Progress,DIGIKEY,40.00,3,120.00,Avionics,Redshift,Spring 2023
RADIO + GPS BOARD CONTINUATION,,Pretty Important,"JLCPCB, DIGIKEY",200.00,1,200.00,Avionics,Redshift,Spring 2023
NOSE CONE (2 STAGE),,Necessary for Any Progress,COMPOSITE WAREHOUSE,80.00,1,80.00,Airframe,Redshift,Spring 2023
HAZMAT SHIPPING,,Pretty Important,CHRIS'S ROCKETRY,69.99,1,69.99,Airframe,Redshift,Fall 2022
TRANSITION FOAM,,Necessary for Any Progress,HOME DEPOT,19.55,1,19.55,Airframe,Redshift,Fall 2022
AMAZON SHIPPING,,Necessary for Any Progress,,10.00,1,10.00,Sims,Redshift,Fall 2022
SHIPPING,,Necessary for Any Progress,,100.00,1,100.00,Propulsion,Redshift,Fall 2022
HARD DRIVE CABLE,,Necessary for Any Progress,AMAZON,7.49,1,7.49,Sims,Redshift,Summer II 2022
"AMAZON, DIGIKEY, MCMASTER SHIPPING",,Necessary for Any Progress,"AMAZON, DIGIKEY, MCMASTER",25.00,1,25.00,Sims,Redshift,Summer II 2022
PROPULSION CONTROL BOARD PARTS,,Necessary for Any Progress,,200.00,1,200.00,Avionics,Redshift,Summer II 2022
PROPULSION PCBS,,Pretty Important,,85.00,1,85.00,Avionics,Redshift,Summer II 2022
BLE ARMING SWITCH PARTS,,Pretty Important,,50.00,1,50.00,Avionics,Redshift,Summer II 2022
DAQ PARTS,,Not necessary,,0.00,1,0.00,Avionics,Redshift,Summer II 2022
ANTENNAS/RF TROUBLESHOOTING,FOR FCBV0,Not necessary,,50.00 ,1,50.00,Avionics,Redshift,Summer II 2022
3/8 FLAT MILL,,Necessary for Any Progress,MCMASTER,26.34 ,1,26.34,Internal Mech,Redshift,Summer II 2022
1/2 FLAT MILL,,Necessary for Any Progress,MCMASTER,44.30 ,1,44.30,Infernal Mech,Redshift,Summer II 2022
HAZMAT SHIPPING,,Necessary for Any Progress,CHRIS'S ROCKETRY,69.99 ,1,69.99,Airframe,Redshift,Summer II 2022
TRANSITION FOAM,,Necessary for Any Progress,HOME DEPOT,19.55 ,1,19.55,Airframe,Redshift,Summer II 2022
HAZMAT SHIPPING,,Necessary for Any Progress,CHRIS'S ROCKETRY,69.99 ,1,69.99,Airframe,Redshift,Summer I 2022
TRANSITION FOAM,,Necessary for Any Progress,HOME DEPOT,19.55 ,1,19.55,Airframe,Redshift,Summer I 2022
